year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2013.0,female,D,0,NORTH EAST,0.0,0.484,0.077,0.439,18.347
2013.0,female,D,0,NORTH WEST,0.087,0.622,0.023,0.268,36.749
2013.0,female,D,0,SOUTH EAST,0.0,0.631,0.009,0.361,29.455
2013.0,female,D,0,SOUTH WEST,0.075,0.587,0.01,0.328,30.041
2013.0,female,D,0,WEST MIDLANDS,0.0,0.722,0.022,0.257,43.055
2013.0,female,D,0,YORKSHIRE AND THE HUMBER,0.0,0.676,0.024,0.3,33.228
2013.0,female,D,1,EAST,0.111,0.399,0.014,0.476,30.143
2013.0,female,D,1,EAST MIDLANDS,0.034,0.662,0.057,0.247,42.466
2013.0,female,D,1,LONDON,0.063,0.771,0.022,0.144,78.827
2013.0,female,D,1,NORTH EAST,0.0,0.371,0.116,0.513,16.878
2013.0,female,D,1,NORTH WEST,0.123,0.496,0.069,0.313,55.316
2013.0,female,D,1,SOUTH EAST,0.122,0.504,0.087,0.287,35.769
2013.0,female,D,1,SOUTH WEST,0.067,0.452,0.092,0.388,31.206
2013.0,female,D,1,WEST MIDLANDS,0.046,0.836,0.003,0.115,52.387
2013.0,female,D,1,YORKSHIRE AND THE HUMBER,0.074,0.532,0.007,0.387,46.318
2013.0,female,D,2,EAST,0.121,0.583,0.001,0.295,19.829
2013.0,female,D,2,EAST MIDLANDS,0.162,0.56,0.032,0.246,35.253
2013.0,female,D,2,LONDON,0.045,0.907,0.002,0.046,50.685
2013.0,female,D,2,NORTH EAST,0.253,0.348,0.068,0.331,17.769
2013.0,female,D,2,NORTH WEST,0.03,0.638,0.041,0.292,28.394
2013.0,female,D,2,SOUTH EAST,0.06,0.699,0.011,0.23,19.125
2013.0,female,D,2,SOUTH WEST,0.301,0.311,0.07,0.318,22.9
2013.0,female,D,2,WEST MIDLANDS,0.068,0.745,0.006,0.182,32.74
2013.0,female,D,2,YORKSHIRE AND THE HUMBER,0.112,0.603,0.076,0.209,28.141
2013.0,female,D,3,EAST,0.042,0.712,0.006,0.24,23.052
2013.0,female,D,3,EAST MIDLANDS,0.156,0.44,0.03,0.373,21.3
2013.0,female,D,3,LONDON,0.078,0.796,0.05,0.075,26.363
2013.0,female,D,3,NORTH EAST,0.045,0.462,0.019,0.473,19.969
2013.0,female,D,3,NORTH WEST,0.057,0.561,0.045,0.337,36.222
2013.0,female,D,3,SOUTH EAST,0.096,0.5,0.029,0.375,35.944
2013.0,female,D,3,SOUTH WEST,0.12,0.551,0.018,0.311,23.996
2013.0,female,D,3,WEST MIDLANDS,0.051,0.532,0.006,0.411,23.188
2013.0,female,D,3,YORKSHIRE AND THE HUMBER,0.117,0.66,0.007,0.216,23.334
2013.0,female,D,4,EAST,0.088,0.492,0.008,0.413,14.391
2013.0,female,D,4,EAST MIDLANDS,0.167,0.574,0.011,0.248,28.989
2013.0,female,D,4,LONDON,0.051,0.87,0.002,0.077,14.709
2013.0,female,D,4,NORTH EAST,0.32,0.435,0.008,0.237,14.233
2013.0,female,D,4,NORTH WEST,0.189,0.62,0.009,0.182,33.879
2013.0,female,D,4,SOUTH EAST,0.129,0.608,0.023,0.238,32.733
2013.0,female,D,4,SOUTH WEST,0.098,0.659,0.004,0.238,27.394
2013.0,female,D,4,WEST MIDLANDS,0.048,0.623,0.008,0.321,13.67
2013.0,female,D,4,YORKSHIRE AND THE HUMBER,0.127,0.551,0.008,0.314,24.022
2013.0,female,D,5,EAST,0.311,0.526,0.002,0.162,42.631
2013.0,female,D,5,EAST MIDLANDS,0.213,0.596,0.003,0.189,48.244
2013.0,female,D,5,LONDON,0.168,0.698,0.002,0.131,24.983
2013.0,female,D,5,NORTH EAST,0.328,0.523,0.001,0.149,16.159
2013.0,female,D,5,NORTH WEST,0.128,0.62,0.024,0.227,49.911
2013.0,female,D,5,SOUTH EAST,0.255,0.702,0.001,0.042,67.279
2013.0,female,D,5,SOUTH WEST,0.359,0.521,0.016,0.104,47.134
2013.0,female,D,5,WEST MIDLANDS,0.214,0.686,0.0,0.1,49.686
2013.0,female,D,5,YORKSHIRE AND THE HUMBER,0.19,0.535,0.005,0.269,30.705
2013.0,female,E,0,EAST,0.053,0.344,0.051,0.551,16.558
2013.0,female,E,0,EAST MIDLANDS,0.0,0.163,0.022,0.815,13.407
2013.0,female,E,0,LONDON,0.033,0.653,0.044,0.27,30.168
2013.0,female,E,0,NORTH EAST,0.027,0.294,0.064,0.614,20.548
2013.0,female,E,0,NORTH WEST,0.036,0.724,0.019,0.221,68.626
2013.0,female,E,0,SOUTH EAST,0.052,0.124,0.01,0.814,12.68
2013.0,female,E,0,SOUTH WEST,0.0,0.657,0.01,0.333,10.148
2013.0,female,E,0,WEST MIDLANDS,0.046,0.618,0.005,0.331,19.76
2013.0,female,E,0,YORKSHIRE AND THE HUMBER,0.023,0.304,0.015,0.657,31.518
2013.0,female,E,1,EAST,0.156,0.403,0.005,0.436,17.107
2013.0,female,E,1,EAST MIDLANDS,0.06,0.339,0.074,0.528,15.786
2013.0,female,E,1,LONDON,0.011,0.708,0.022,0.259,33.749
2013.0,female,E,1,NORTH EAST,0.089,0.237,0.019,0.654,20.005
2013.0,female,E,1,NORTH WEST,0.117,0.45,0.021,0.412,36.598
2013.0,female,E,1,SOUTH EAST,0.117,0.3,0.021,0.562,18.962
2013.0,female,E,1,SOUTH WEST,0.162,0.271,0.02,0.547,21.011
2013.0,female,E,1,WEST MIDLANDS,0.061,0.667,0.004,0.268,16.741
2013.0,female,E,1,YORKSHIRE AND THE HUMBER,0.0,0.313,0.067,0.62,19.477
2013.0,female,E,2,EAST,0.0,0.266,0.041,0.693,8.596
2013.0,female,E,2,EAST MIDLANDS,0.118,0.484,0.042,0.356,7.445
2013.0,female,E,2,LONDON,0.0,0.687,0.008,0.305,22.74
2013.0,female,E,2,NORTH EAST,0.0,0.245,0.023,0.732,4.428
2013.0,female,E,2,NORTH WEST,0.026,0.399,0.013,0.562,24.447
2013.0,female,E,2,SOUTH EAST,0.0,0.329,0.018,0.653,9.96
2013.0,female,E,2,SOUTH WEST,0.186,0.369,0.008,0.437,10.162
2013.0,female,E,2,WEST MIDLANDS,0.0,0.794,0.003,0.203,9.497
2013.0,female,E,2,YORKSHIRE AND THE HUMBER,0.059,0.425,0.012,0.504,14.751
2013.0,female,E,3,EAST,0.195,0.172,0.014,0.619,8.994
2013.0,female,E,3,EAST MIDLANDS,0.08,0.277,0.012,0.63,10.22
2013.0,female,E,3,LONDON,0.0,0.7,0.004,0.296,20.295
2013.0,female,E,3,NORTH EAST,0.0,0.326,0.015,0.659,6.79
2013.0,female,E,3,NORTH WEST,0.088,0.561,0.011,0.34,23.79
2013.0,female,E,3,SOUTH EAST,0.169,0.464,0.003,0.363,10.622
