year,gender,sg,age_group,region,ex-smoker,non-smoker,quitter,smoker,weight
2015.0,female,C2,1,NORTH EAST,0.0,0.61,0.016,0.374,15.657
2015.0,female,C2,1,NORTH WEST,0.066,0.631,0.034,0.268,48.544
2015.0,female,C2,1,SOUTH EAST,0.199,0.308,0.04,0.453,50.48
2015.0,female,C2,1,SOUTH WEST,0.176,0.626,0.033,0.163,47.817
2015.0,female,C2,1,WEST MIDLANDS,0.062,0.699,0.036,0.203,46.102
2015.0,female,C2,1,YORKSHIRE AND THE HUMBER,0.142,0.628,0.007,0.222,35.233
2015.0,female,C2,2,EAST,0.198,0.434,0.071,0.297,22.076
2015.0,female,C2,2,EAST MIDLANDS,0.21,0.537,0.003,0.249,43.217
2015.0,female,C2,2,LONDON,0.0,0.834,0.004,0.162,39.348
2015.0,female,C2,2,NORTH EAST,0.181,0.628,0.03,0.161,25.849
2015.0,female,C2,2,NORTH WEST,0.171,0.43,0.027,0.373,34.142
2015.0,female,C2,2,SOUTH EAST,0.219,0.386,0.025,0.369,52.792
2015.0,female,C2,2,SOUTH WEST,0.2,0.476,0.004,0.32,29.663
2015.0,female,C2,2,WEST MIDLANDS,0.08,0.644,0.028,0.248,33.016
2015.0,female,C2,2,YORKSHIRE AND THE HUMBER,0.172,0.542,0.014,0.272,23.295
2015.0,female,C2,3,EAST,0.222,0.627,0.002,0.149,33.893
2015.0,female,C2,3,EAST MIDLANDS,0.061,0.625,0.017,0.297,40.653
2015.0,female,C2,3,LONDON,0.083,0.814,0.002,0.1,35.783
2015.0,female,C2,3,NORTH EAST,0.225,0.459,0.005,0.311,11.76
2015.0,female,C2,3,NORTH WEST,0.142,0.567,0.018,0.273,52.101
2015.0,female,C2,3,SOUTH EAST,0.41,0.405,0.02,0.165,74.144
2015.0,female,C2,3,SOUTH WEST,0.136,0.501,0.02,0.343,23.693
2015.0,female,C2,3,WEST MIDLANDS,0.179,0.51,0.066,0.245,47.641
2015.0,female,C2,3,YORKSHIRE AND THE HUMBER,0.053,0.673,0.004,0.269,36.207
2015.0,female,C2,4,EAST,0.345,0.325,0.007,0.323,24.902
2015.0,female,C2,4,EAST MIDLANDS,0.214,0.682,0.025,0.079,31.287
2015.0,female,C2,4,LONDON,0.065,0.762,0.002,0.171,24.659
2015.0,female,C2,4,NORTH EAST,0.083,0.623,0.005,0.29,18.212
2015.0,female,C2,4,NORTH WEST,0.238,0.598,0.011,0.152,28.014
2015.0,female,C2,4,SOUTH EAST,0.342,0.492,0.003,0.163,55.947
2015.0,female,C2,4,SOUTH WEST,0.245,0.39,0.019,0.346,23.553
2015.0,female,C2,4,WEST MIDLANDS,0.305,0.453,0.005,0.235,39.804
2015.0,female,C2,4,YORKSHIRE AND THE HUMBER,0.235,0.573,0.006,0.187,20.724
2015.0,female,C2,5,EAST,0.345,0.546,0.005,0.103,44.232
2015.0,female,C2,5,EAST MIDLANDS,0.274,0.638,0.005,0.084,40.837
2015.0,female,C2,5,LONDON,0.093,0.813,0.024,0.07,29.372
2015.0,female,C2,5,NORTH EAST,0.311,0.619,0.003,0.067,17.618
2015.0,female,C2,5,NORTH WEST,0.231,0.688,0.003,0.078,48.611
2015.0,female,C2,5,SOUTH EAST,0.253,0.607,0.006,0.134,107.431
2015.0,female,C2,5,SOUTH WEST,0.306,0.64,0.001,0.053,57.183
2015.0,female,C2,5,WEST MIDLANDS,0.209,0.703,0.001,0.088,37.737
2015.0,female,C2,5,YORKSHIRE AND THE HUMBER,0.2,0.625,0.003,0.174,29.763
2015.0,female,D,0,EAST,0.071,0.659,0.001,0.269,19.724
2015.0,female,D,0,EAST MIDLANDS,0.0,0.734,0.054,0.213,20.705
2015.0,female,D,0,LONDON,0.0,0.778,0.014,0.207,76.512
2015.0,female,D,0,NORTH EAST,0.0,0.656,0.007,0.337,15.156
2015.0,female,D,0,NORTH WEST,0.025,0.634,0.022,0.318,30.273
2015.0,female,D,0,SOUTH EAST,0.0,0.909,0.003,0.088,24.11
2015.0,female,D,0,SOUTH WEST,0.0,0.495,0.108,0.397,27.773
2015.0,female,D,0,WEST MIDLANDS,0.053,0.66,0.003,0.284,22.939
2015.0,female,D,0,YORKSHIRE AND THE HUMBER,0.019,0.592,0.013,0.376,30.424
2015.0,female,D,1,EAST,0.021,0.686,0.006,0.287,29.38
2015.0,female,D,1,EAST MIDLANDS,0.153,0.594,0.002,0.251,33.676
2015.0,female,D,1,LONDON,0.009,0.828,0.007,0.156,85.913
2015.0,female,D,1,NORTH EAST,0.208,0.255,0.02,0.517,19.457
2015.0,female,D,1,NORTH WEST,0.039,0.558,0.013,0.39,38.476
2015.0,female,D,1,SOUTH EAST,0.081,0.369,0.018,0.532,16.086
2015.0,female,D,1,SOUTH WEST,0.063,0.586,0.01,0.34,22.263
2015.0,female,D,1,WEST MIDLANDS,0.032,0.762,0.004,0.203,62.219
2015.0,female,D,1,YORKSHIRE AND THE HUMBER,0.063,0.432,0.045,0.46,32.98
2015.0,female,D,2,EAST,0.105,0.598,0.041,0.256,35.541
2015.0,female,D,2,EAST MIDLANDS,0.132,0.624,0.004,0.24,12.133
2015.0,female,D,2,LONDON,0.044,0.68,0.02,0.255,73.0
2015.0,female,D,2,NORTH EAST,0.256,0.382,0.003,0.359,7.127
2015.0,female,D,2,NORTH WEST,0.311,0.361,0.044,0.284,28.912
2015.0,female,D,2,SOUTH EAST,0.046,0.588,0.109,0.257,26.473
